model,dataset,val_f1,test_f1,test_bal_acc,luxury_recall,severe_misclassification_rate
xgboost,none,0.8590912805430443,0.8590372905869573,0.8566052899720881,0.8611006051437217,0.0021999652637063626
xgboost,smote,0.8559842328938934,0.8559772383568793,0.8580324067229896,0.8856845688350984,0.0025473282000810513
xgboost,undersample,0.8516456427343044,0.8528869696685698,0.8586011346376335,0.9053517397881997,0.0028367973137266253
decision_tree,none,0.8338694621231864,0.8296405659524829,0.8260288124074222,0.823373676248109,0.004168355236496266
random_forest,none,0.8501711771541411,0.8256694947714909,0.8196805525786798,0.8041792738275341,0.004515718172870955
decision_tree,smote,0.831616618111776,0.8254404175295645,0.8255832233420577,0.8401096822995462,0.004168355236496266
decision_tree,undersample,0.8215322378282061,0.8239917188935979,0.8278640139441742,0.8654500756429652,0.004940272872884463
random_forest,smote,0.8475678740254113,0.8237846564218861,0.8281096290130495,0.8695158850226928,0.005056060518342693
random_forest,undersample,0.8414033775390087,0.8217274533594724,0.8275563309497095,0.8762291981845688,0.005306933750168857
log_reg,smote,0.6654100676137866,0.6617301119503285,0.6787178744757895,0.7974659606656581,0.025936432582643432
log_reg,none,0.6693829995980121,0.660631166631072,0.661593184023632,0.6931732223903178,0.02115054323703661
log_reg,undersample,0.6643734554214453,0.6600211368242477,0.6776733564494865,0.7985060514372163,0.026727648159941334
baseline,none,0.2074493539639496,0.2074493539639496,0.3333333333333333,0.0,0.20409502306103938
